lon,lat
149.215000,-21.125000
149.080000,-21.125000
149.080000,-21.151000
149.100000,-21.151000
149.211475,-21.143289
149.211816,-21.143369
149.212046,-21.143114
149.212395,-21.143164
149.212614,-21.142893
149.212901,-21.142871
149.213040,-21.142605
149.213274,-21.142576
149.213401,-21.142371
149.213621,-21.142404
149.213707,-21.142043
149.213746,-21.142243
149.213890,-21.141922
149.213922,-21.142278
149.214038,-21.142165
149.214045,-21.142008
149.214231,-21.141969
149.214314,-21.141814
149.214553,-21.141821
149.214665,-21.141631
149.214904,-21.141609
149.214988,-21.141370
149.215210,-21.141333
149.215306,-21.141115
149.215554,-21.141096
149.215669,-21.140882
149.215881,-21.140861
149.215953,-21.140556
149.215995,-21.140708
149.215000,-21.125000
